[-0.72969944  0.99364956  1.1236009   1.22751645 -1.82805627 -0.60346769] -295.36006857938304
[-0.61527955 -0.30638578  1.04821743  0.46363239  0.58051157  1.44138619] -249.9445052507085
[-0.49865588  1.50840634  0.64766593  0.21086021  0.14750636  0.57877345] -249.37718723885055
[-0.69532625  0.49704079  0.21793738 -0.93643091  0.93878128 -0.95927632] -241.72195865485347
[ 0.86595293 -0.29224705  1.31488521  1.3807197   0.667867   -0.10255507] -236.25874683905144
[-1.57542648 -0.2298932  -1.22346076 -0.82289616  0.25664122  1.1385193 ] -259.6614435917383
[ 0.40478016  0.18704972 -0.45052143 -0.26813336  1.27838072 -1.72199603] -232.62665931490466
[ 0.02504775 -0.53899262 -0.60535965 -1.21826583  3.11795232  0.7284182 ] -264.9669096927168
[-0.16363905 -0.15583207 -0.17311951 -0.60682026  1.88145017  0.39544673] -244.0465733896639
[ 1.34137061  0.70923718  2.09181577  0.90417208  1.57485781 -1.26125965] -230.2149917951351
[ 2.79976915  1.17880237  3.74945403  1.7677062   2.23396611 -2.46114913] -230.6223029806827
[ 1.03344039  1.12427075  0.16800368 -0.2355099   1.58243621 -2.46500849] -229.40769024234976
[ 1.85780036  1.83959902 -0.27210319 -0.58508105  2.08339853 -4.41820583] -232.4402327203244
[ 1.42751547 -0.81856657  0.40866777 -0.13152776  2.49375137 -2.61698972] -236.63416101445438
[ 1.62288349  0.62476035  1.4233823   0.84458354  0.96390796 -3.43780849] -230.62534919327527
[ 2.92730726  0.01446067  1.43414039  1.76786567  1.91495241 -2.90926283] -226.14875055768425
[ 4.73862402 -0.22682939  2.0422419   3.12001396  2.40303797 -3.88425608] -242.28843487424203
[ 1.30439614  1.60774378  1.58523421  1.59609367  0.16704933 -1.34897379] -244.22390204522335
[ 1.39673564 -0.21198898  0.70280938  0.3003776   1.91207586 -2.29998574] -229.3971681051052
[ 2.04288625  1.10817695  0.47499149 -0.27626782  2.40766999 -4.59588534] -233.30904259857846
[ 1.74865292  0.75807095  0.68496492  0.13797906  1.97271924 -3.47255277] -228.39743938910365
[ 2.95201661  0.81922059  2.61889357  1.50795605  2.02860245 -3.5599633 ] -227.9285145471947
