[-0.2907406  -0.87579551  1.06712665  0.5814323   0.26987805 -0.60085126] -268.3039310958666
[-1.18455752 -0.41194564 -0.63844581 -2.05411036 -0.05134311 -0.77153627] -293.5932865571946
[-0.27809192 -1.84496604 -1.32310618  1.00199874  2.04581334 -0.56350914] -270.103500831233
[-0.83303333 -0.0348322   0.14152204 -1.16416471 -1.29944933 -0.07525402] -303.28304767776336
[ 0.23362587  0.01552993 -0.14454027  0.97545087 -1.57759585 -0.00433301] -290.10689577137
[ 0.73755752 -1.22096623  1.25769268 -0.60636922 -0.09573184  0.80009703] -271.01478645081846
[ 0.72543571 -0.42394363  0.46672541  0.01916573 -0.93240684  1.04552365] -275.9381936173405
[ 0.81410969 -1.55253017  0.08696212  1.1366874   1.18565391  0.04371768] -258.56792853233145
[ 1.63768119 -2.31137916  0.05968216  2.28711345  2.42820554  0.10320353] -259.5656233315731
[ 1.83185628 -1.55561157  1.1087326   3.0902323   0.34988004  1.01175125] -264.4253377576847
[ 0.94641635 -2.50680098  1.0325847   0.76559821  2.51862474  0.58324275] -277.55013801422274
[ 0.76821873 -1.87621826  0.73830345  0.81806138  1.49456959  0.43634881] -263.3549502873782
[ 0.46886752 -2.55141897  0.51184503  1.9881819   2.68242787 -0.66967219] -270.0024051948002
[ 0.36718238 -2.19788061 -0.52773812  3.47856723  2.7718061  -0.91416865] -264.21194527564666
[ 1.59792326 -1.69151899  2.31818343  2.6957221   0.87225852  0.33255103] -260.69198472110315
[ 1.22731572 -0.69843274  1.08534501  1.94538567 -0.3677458   0.77278848] -268.4610838033234
[ 1.03770367 -1.1616793   0.94197002  1.95608473  0.39479762  0.41217331] -260.2986031573916
[ 2.4297386  -2.46935079  0.48834452  3.81035274  2.08644388  1.0416424 ] -254.1491768371603
[ 3.7899782  -3.26612842  0.19895346  5.42481296  2.99472679  1.86288923] -264.1708855824983
[ 0.50643583 -2.09411447  0.23994253  1.54159289  2.5852965  -0.56099639] -270.19310492354776
[ 1.50050117 -1.6902373   0.89153509  2.70307245  0.90873415  0.61856434] -257.25029965424926
[ 2.34888266 -1.28263099  2.34950433  0.8947597  -0.45765354  1.87583451] -269.99034333163536
[ 0.86260745 -1.96906821  0.19157249  2.83261535  1.96444119 -0.21666786] -257.62177383440644
[ 1.97930921 -1.63524333  0.9012191   4.22678354  0.97620684  0.30764483] -270.095615453353
[ 1.07099135 -1.81597452  0.77903237  1.67024192  1.3649789   0.40417281] -258.189357218102
[ 0.97396072 -1.86142777 -1.19171123  2.0072961   1.76275803  0.43531654] -258.55987207497367
[ 1.51293265 -2.62451696 -0.5267249   2.76400392  2.69620574  0.36340866] -260.96944463792903
[ 1.15651092 -1.52738871  0.57479629  2.15806453  0.97014965  0.39998215] -256.597299471039
