[-0.82070092 -0.93912378 -0.5227346   0.54200774  0.07247402  0.42810327] -304.04454827681195
[ 0.77403836  0.23151417 -1.54488246 -1.45164875  0.32564758  1.95263339] -300.32507788411255
[-0.00434141 -0.00557562 -0.08740318  0.45919067  1.59378039 -0.09902606] -307.586612854605
[ 1.44832222 -0.71684641  0.46391243  0.15333481  0.79345936  0.84230297] -282.8450832150846
[ 1.64438342  0.80077461  0.36020661 -0.22954178 -0.0760244  -0.22988512] -274.81928108433584
[ 1.16522414  2.20932033  0.52550349 -0.28397632 -0.24715556  0.87001698] -283.8778064460484
[-1.35271594 -0.24006701  0.65276317 -2.19790726 -1.31156296  0.99406797] -340.85032670914455
[ 2.75502454  0.76675478 -0.92122907  1.92769604  2.13229009  0.26064717] -268.9636605760531
[ 4.80889478  1.27016567 -1.70822519  3.99049769  3.85421661 -0.10606322] -249.7658963609502
[ 3.01106208  0.95751049 -0.72133673  0.44770045 -0.01957452  1.35139548] -265.91368237158815
[ 5.10467591  2.52327006 -0.35220601  0.33344763  1.471049    1.13203022] -271.5779054996997
[ 4.95348249  2.11655075  1.06750066  2.92213624  1.59967592 -0.66603428] -246.930035884965
[ 7.04320455  3.05906904  2.37369223  5.10902874  2.23669009 -1.97536811] -325.1022018568582
[ 5.8250495   0.10782139 -0.82221956  2.823168    2.78808955 -0.09543497] -253.62169499879425
[ 7.0008605   3.30887739 -1.18933918  3.27580127  2.41235136 -0.38030026] -266.66666182765164
[ 8.59029167  2.62729064 -1.60214861  4.82712555  4.11129371  0.64174944] -299.59226412286284
[ 3.38086048  1.25740362 -0.1303822   1.03462505  0.97080513 -0.01197648] -259.84908861424174
[ 4.55539403  0.48283971 -0.81579472  4.49786194  2.39747235 -1.10150146] -252.32743725187007
[ 1.84405395 -1.24478019  0.14585327  1.96286186  1.45121032  0.17042862] -270.9320321015591
[ 5.71165886  2.170463   -0.85554107  2.94756642  2.1720661  -0.24261804] -250.11985987227789
[ 6.7340513   1.51090422 -0.36688396  5.62425133  4.61368307 -2.09260497] -275.7894826887338
[ 3.94180938  1.09585892 -0.63272354  1.74183817  1.13873988  0.49039537] -254.13206720961966
[ 6.55123587  1.15716286 -1.12528561  5.27306444  3.67928168 -0.56177572] -269.84331450325686
[ 4.17345433  1.23234343 -0.37910805  2.0942349   1.64792426 -0.14942629] -251.24050116275484
[ 6.06750194  1.36420239 -0.53840577  4.68331689  3.68107505 -1.27742146] -253.8394945867058
[ 5.5360788   1.29711652 -0.56198521  3.94794721  3.04549126 -0.83546725] -246.68209637839763
[ 4.08793827  2.74867164 -0.26216496  3.97691346  2.11752595 -0.93826855] -258.5785305291341
[ 5.39077169  0.76803395 -0.68220591  3.11160437  2.62044865 -0.30614336] -247.13777819847812
[ 5.63605296  2.46871807 -0.22406021  1.84013367  2.58246859  0.33291732] -257.0453829070634
[ 4.82555876  0.9793093  -0.66786109  3.83342987  2.44372141 -0.74289677] -246.70200670412896
[ 6.2353608   1.63486964 -0.75699789  4.82349237  3.59728239 -0.81698135] -259.2039991249406
[ 4.68893095  1.33297498 -0.47358051  2.77654927  2.13526379 -0.31631505] -247.11193327507632
[ 4.35624696  0.41758739 -0.15324469  3.91315513  3.06087312 -0.74835527] -244.54332288881287
[ 3.678541   -0.45885041  0.1979035   4.39594949  3.50527663 -1.00122389] -248.10248485228382
[ 5.10812843  1.03369197  1.21776628  2.84444301  1.11427477 -1.09900744] -247.32371176280958
[ 5.03332002  1.09281039  0.48626841  3.13095668  1.79926023 -0.85077139] -244.87566618320133
