[-0.2907406  -0.87579551  1.06712665  0.5814323   0.26987805 -0.60085126] -268.3039310958666
[-1.18455752 -0.41194564 -0.63844581 -2.05411036 -0.05134311 -0.77153627] -293.5932865571946
[-0.27809192 -1.84496604 -1.32310618  1.00199874  2.04581334 -0.56350914] -270.103500831233
[-0.83303333 -0.0348322   0.14152204 -1.16416471 -1.29944933 -0.07525402] -303.28304767776336
[ 2.61319789 -1.55152099 -0.09340459  3.15683735  2.08913258 -0.60258692] -251.08212238480857
[ 2.63596938 -1.43338963 -0.07576555  3.17805469  2.10690279 -0.59218157] -251.09201168379477
[ 2.45881729 -1.61334384 -0.14625875  3.08721747  2.04294277 -0.48748604] -251.12883504455252
[ 2.57751011 -1.64574989 -0.17747591  3.02609309  2.02307099 -0.61308362] -251.08136850344857
[ 2.59286302 -1.64822755 -0.22955451  2.93885597  1.98536687 -0.64159354] -251.1107354698806
[ 2.70506138 -1.68400266 -0.11494161  3.11906817  2.07198353 -0.72352722] -251.12586497749487
[ 2.64350036 -1.66633795 -0.1227709   3.11110549  2.06472334 -0.66451693] -251.0946927720718
[ 2.66036292 -1.4818499  -0.14568689  3.051181    2.01342311 -0.56124726] -251.08632280306594
[ 2.68426149 -1.46770634 -0.07900529  3.10745282  2.06890012 -0.47136388] -251.0716798314615
[ 2.75086687 -1.34419683 -0.03129353  3.12184422  2.08786058 -0.35813849] -251.10392690690355
[ 2.6053989  -1.44988319 -0.11607465  3.07379979  2.03654823 -0.44027725] -251.07831823799103
[ 2.65502429 -1.4468427  -0.21719082  3.06889502  2.03848577 -0.49842611] -251.06566530883896
[ 2.68415847 -1.36301173 -0.30315638  3.05061371  2.02961544 -0.46521648] -251.08115936262482
[ 2.58963779 -1.56782837 -0.14059828  3.12907633  2.08964328 -0.48108383] -251.06239218939405
[ 2.55427522 -1.61081761 -0.13805398  3.168024    2.12775337 -0.44100212] -251.07814616188847
[ 2.6270674  -1.45584547 -0.09887893  3.07969086  2.06219882 -0.53435171] -251.0462597475941
[ 2.63329639 -1.39010236 -0.06046628  3.06568932  2.06676748 -0.55089982] -251.0382477964414
[ 2.63517843 -1.43784997 -0.17019915  3.00016478  2.01867271 -0.41579125] -251.063149372885
[ 2.69008899 -1.27432108 -0.08370224  3.12226627  2.0832682  -0.33953043] -251.10658930651374
[ 2.60565483 -1.55289269 -0.1540325   3.05013638  2.03812029 -0.54469532] -251.05782093439447
[ 2.6622855  -1.50452428 -0.15775612  3.06667175  2.07031499 -0.54714282] -251.03393033129893
[ 2.69072881 -1.53184483 -0.17859686  3.06310773  2.08719837 -0.60057561] -251.02872899076422
[ 2.58557869 -1.50808064 -0.22802268  3.01823703  2.04406252 -0.55912677] -251.03338804318864
[ 2.59166735 -1.54935692 -0.09344776  3.03990884  2.07633578 -0.55229809] -251.03205835498417
[ 2.59700952 -1.59551864 -0.11485564  3.1218871   2.11536986 -0.68043523] -251.03565639524246
[ 2.64500741 -1.47477032 -0.13587562  2.99057913  2.05297482 -0.68159311] -251.01770418364094
[ 2.67269222 -1.4282413  -0.13351429  2.92133053  2.03464059 -0.78184775] -251.03449532782847
[ 2.64210789 -1.46366521 -0.11638912  3.04966667  2.10944931 -0.66361422] -250.98873852390597
[ 2.66033442 -1.41905147 -0.09756743  3.04943182  2.14511382 -0.72307367] -250.96736153586843
[ 2.62347901 -1.63610524 -0.22232238  3.02869457  2.10691758 -0.71480101] -251.03781887733436
[ 2.62593335 -1.57460452 -0.18185836  3.03794326  2.09688005 -0.67382571] -251.01568450793832
[ 2.66940716 -1.4237176  -0.19026726  2.9445155   2.05215192 -0.58306242] -251.01826011246462
[ 2.70878081 -1.48303458 -0.06451509  3.02359173  2.12615574 -0.71234943] -250.99472417428413
[ 2.74172997 -1.41965086 -0.18944578  2.99648088  2.11048913 -0.77252856] -251.01044224952724
[ 2.6596689  -1.39976496 -0.10791298  2.95107304  2.10739013 -0.7815687 ] -250.98610052317707
[ 2.67774446 -1.49990797 -0.06879115  3.07185112  2.16084931 -0.86525064] -251.0012543619067
[ 2.71305657 -1.45723446 -0.10082131  3.05287815  2.19598457 -0.82793913] -250.9717809804259
[ 2.76117169 -1.31827691 -0.02782622  3.01049232  2.18511418 -0.88707767] -250.98819045129923
[ 2.65185565 -1.43943927  0.03363439  3.05662517  2.19638012 -0.82655785] -250.98253944926364
[ 2.70721155 -1.33902591 -0.05287839  2.97617962  2.15786355 -0.72093817] -250.964693379387
[ 2.72194509 -1.25858488 -0.04492201  2.92834387  2.15637067 -0.64878194] -250.97992681700185
[ 2.67565212 -1.30789641 -0.05327556  3.00863498  2.20312638 -0.8767023 ] -250.9608519265981
[ 2.65908777 -1.22032732 -0.0476558   3.0011566   2.24161171 -0.95887873] -250.97671441426675
[ 2.59475471 -1.46919391 -0.09844754  3.02111527  2.15017202 -0.6985156 ] -250.97869756088036
[ 2.67461944 -1.41084886 -0.01520563  3.10388196  2.2421567  -0.77634021] -250.95346737639304
[ 2.68209471 -1.41639081  0.03114804  3.18028642  2.30953998 -0.77372596] -250.96389909020002
[ 2.69002062 -1.36164441 -0.17303301  3.01408209  2.16842556 -0.71461184] -250.95006304023823
[ 2.7091031  -1.32274698 -0.27636671  2.99281055  2.15444827 -0.65863884] -250.96603747074963
[ 2.77887686 -1.29603993 -0.0658129   3.0472476   2.22071818 -0.8480195 ] -250.9678056673175
[ 2.6825151  -1.25426786 -0.05176967  3.01360788  2.18315015 -0.72528944] -250.94753123095398
[ 2.66724437 -1.15278456 -0.02724385  2.99397274  2.17673294 -0.6739646 ] -250.96284260395765
[ 2.58457422 -1.40153838 -0.08209699  3.00802518  2.14589388 -0.66429904] -250.97579565630298
[ 2.7303012  -1.32241454 -0.06988393  3.037442    2.2020121  -0.80208939] -250.95259673273074
[ 2.72643892 -1.24631453 -0.04111464  3.00184436  2.24046433 -0.81558345] -250.95138807312918
[ 2.68597092 -1.29543629 -0.08188242  3.08365147  2.25524819 -0.84926737] -250.94269349345223
[ 2.6753506  -1.27364148 -0.09638443  3.13738739  2.30394051 -0.91343196] -250.95841475762086
[ 2.72096995 -1.32241242 -0.09102087  3.07620161  2.22735929 -0.68435827] -250.9330445018001
[ 2.74362886 -1.32967042 -0.10989352  3.10998492  2.23947575 -0.58818625] -250.93561105893573
[ 2.7374528  -1.18998116 -0.15436254  2.97172784  2.18339651 -0.75405971] -250.95451485387207
[ 2.69032778 -1.35563193 -0.04999486  3.07084343  2.22746665 -0.77077008] -250.94217568690232
[ 2.66844656 -1.28948794 -0.09305456  3.04930161  2.23202595 -0.71787076] -250.93301808572818
[ 2.63751924 -1.27302464 -0.10463987  3.05523142  2.24703288 -0.67576145] -250.9384033339563
[ 2.65297806 -1.37997909 -0.13913716  3.10071834  2.19076094 -0.67180581] -250.94872664149594
[ 2.67704883 -1.27076077  0.00407983  3.11735935  2.27024484 -0.75850873] -250.94984461201406
[ 2.68029178 -1.29348168 -0.04019838  3.09154004  2.24479002 -0.74753451] -250.9395427346261
[ 2.72319597 -1.22359362  0.00316358  3.02766367  2.26591915 -0.82655767] -250.95277469409237
[ 2.67053253 -1.34088272 -0.10356197  3.08245467  2.20955049 -0.71049377] -250.9379231029861
[ 2.68966474 -1.37817647 -0.10146802  3.13772306  2.28233004 -0.76814215] -250.93257545664932
[ 2.69323955 -1.44013077 -0.12631719  3.19978066  2.33191999 -0.7895685 ] -250.94427213271788
[ 2.6874402  -1.3645881  -0.0778838   3.08570334  2.21925929 -0.61712248] -250.93950981429546
[ 2.68212081 -1.30737784 -0.11906767  3.10346468  2.24430505 -0.6444039 ] -250.9284862037466
[ 2.67801732 -1.2832508  -0.15360408  3.11977531  2.25272424 -0.5812208 ] -250.9307456442227
[ 2.69276648 -1.37416015 -0.15515392  3.08674296  2.22682002 -0.6332626 ] -250.93367875026112
[ 2.68739349 -1.30624442 -0.1432252   3.09292619  2.25487099 -0.76905467] -250.92774671101733
[ 2.68737014 -1.27707258 -0.1758959   3.09653761  2.27267684 -0.84502076] -250.93445011554115
[ 2.70992147 -1.31840369 -0.1307681   3.09966537  2.27968663 -0.69520367] -250.92214373625853
[ 2.72961594 -1.30716417 -0.14437117  3.10827072  2.31475469 -0.68755862] -250.9224431339245
[ 2.69340586 -1.26654078 -0.07104755  3.09968455  2.28003929 -0.79308187] -250.93268449079142
[ 2.65601436 -1.29966462 -0.12852284  3.11805355  2.29706003 -0.7782274 ] -250.93036246471425
[ 2.70439368 -1.33598133 -0.1383119   3.16787085  2.31407139 -0.76483379] -250.92821365530202
[ 2.68309699 -1.38207535 -0.18274036  3.14021668  2.27740208 -0.68020666] -250.92639433485067
[ 2.68464887 -1.27173928 -0.17941067  3.10300938  2.27346868 -0.67583455] -250.92054522644864
[ 2.68214093 -1.21852069 -0.218382    3.08565253  2.26903799 -0.62968075] -250.92462050602091
[ 2.72784408 -1.34094268 -0.16931847  3.11766417  2.25087491 -0.63161834] -250.9287002433109
[ 2.70988665 -1.33062317 -0.15911956  3.11776151  2.26242119 -0.66827061] -250.9235742612874
[ 2.71099291 -1.3409779  -0.19212426  3.13701865  2.3096686  -0.77339742] -250.92518310045145
[ 2.69091978 -1.31403994 -0.19081748  3.06232841  2.23843467 -0.65582206] -250.92885453765115
[ 2.70102521 -1.33049598 -0.1514383   3.14148524  2.29516221 -0.73758086] -250.9233139227308
[ 2.71246388 -1.35186071 -0.18864188  3.15345942  2.31106547 -0.64110992] -250.92212122694826
[ 2.72654934 -1.26595823 -0.1510939   3.11058317  2.29975551 -0.71692569] -250.91884196246056
[ 2.74827551 -1.20789967 -0.13527068  3.09576641  2.31093223 -0.7352852 ] -250.9218107360513
[ 2.70383889 -1.28204912 -0.12803321  3.10496938  2.26418462 -0.60491101] -250.92489919496637
[ 2.7056274  -1.29678131 -0.14405597  3.1129817   2.27555562 -0.64703262] -250.92075541338724
[ 2.7035254  -1.28112323 -0.15601672  3.12263325  2.31581018 -0.7029585 ] -250.9190636928285
[ 2.71322024 -1.26479284 -0.16522412  3.09262552  2.28995182 -0.62210745] -250.92316698878045
[ 2.71017149 -1.28121862 -0.16177767  3.10484045  2.29125442 -0.65097581] -250.91991531856942
[ 2.70440731 -1.26449011 -0.19623084  3.13617042  2.30928333 -0.64974202] -250.91834067021628
[ 2.70165023 -1.23753332 -0.2289622   3.15442295  2.32408168 -0.62701119] -250.92185973005704
[ 2.69917939 -1.20190956 -0.14088671  3.07661337  2.27731044 -0.70671314] -250.9230020734319
[ 2.70914276 -1.31437292 -0.17670309  3.13424791  2.30262671 -0.65751072] -250.91914279703434
[ 2.70718766 -1.26285282 -0.19635499  3.12417982  2.32184399 -0.70428314] -250.91839214835827
[ 2.73567912 -1.28493269 -0.16664839  3.14120896  2.34005604 -0.68496408] -250.9181247353314
[ 2.76119424 -1.2915294  -0.16026725  3.16030876  2.37334972 -0.68952884] -250.92185883088646
[ 2.71865904 -1.27669138 -0.18590498  3.15150073  2.33853751 -0.72115224] -250.91847986632297
[ 2.72285987 -1.23097657 -0.17404685  3.12784421  2.33913547 -0.73583116] -250.91978473823087
[ 2.71257203 -1.29352383 -0.17603903  3.13264698  2.3117539  -0.67709083] -250.91778691916466
[ 2.73149276 -1.26835978 -0.20140732  3.14279678  2.32459991 -0.68176084] -250.9173177145189
[ 2.74547644 -1.26197806 -0.22410262  3.15287855  2.32899478 -0.67116201] -250.91943440835445
[ 2.71011664 -1.28432531 -0.22310128  3.16558473  2.34893605 -0.65607203] -250.92070832159516
[ 2.72244116 -1.27055    -0.16909575  3.12433356  2.31205065 -0.70171227] -250.91747624703035
[ 2.71926764 -1.27154503 -0.18268713  3.11561145  2.3013251  -0.64536548] -250.91896508667148
[ 2.71881119 -1.27540479 -0.18510051  3.14252841  2.3292344  -0.70220555] -250.91771754368727
[ 2.73461354 -1.28956758 -0.16848563  3.14904855  2.32048209 -0.66154205] -250.91731562887736
[ 2.74832647 -1.30292497 -0.15455095  3.16148291  2.31980113 -0.64017151] -250.91954276352388
[ 2.74746262 -1.29628945 -0.15936137  3.14135066  2.33677566 -0.72001652] -250.91936683648703
[ 2.71517114 -1.27243994 -0.18701347  3.13746548  2.31615641 -0.66731064] -250.9173178153521
[ 2.70935483 -1.27168262 -0.19573218  3.13506429  2.29803642 -0.67890999] -250.91837014152227
[ 2.72909804 -1.28162017 -0.17391934  3.1396728   2.32955113 -0.68345055] -250.91761186814227
[ 2.73797058 -1.25912359 -0.18563498  3.14596821  2.33227096 -0.68890314] -250.91710779904483
[ 2.75066985 -1.24192348 -0.19043295  3.15262882  2.34252949 -0.69480929] -250.91825427135987
[ 2.73811788 -1.27181557 -0.17675165  3.13723338  2.31580265 -0.65935428] -250.9172553193432
[ 2.73083764 -1.26233198 -0.18887692  3.13927586  2.31090309 -0.67007719] -250.91754862444722
[ 2.73040274 -1.26715403 -0.18513753  3.13937509  2.3155651  -0.67342053] -250.91703916913914
[ 2.74014839 -1.27227017 -0.19904778  3.15962894  2.32957506 -0.64238489] -250.91847029410405
[ 2.72686797 -1.27098004 -0.17658375  3.13315741  2.31643175 -0.68688043] -250.91692854726392
[ 2.75131735 -1.26989359 -0.17765348  3.145061    2.32556107 -0.68330978] -250.91786902113702
[ 2.72420769 -1.27180336 -0.18467347  3.13936436  2.31850758 -0.67131043] -250.91690775195957
[ 2.73256737 -1.27512161 -0.15768168  3.13858555  2.3150868  -0.66537611] -250.9170705573068
[ 2.72876454 -1.24909848 -0.18700206  3.12884612  2.31740619 -0.68687292] -250.91704724507576
[ 2.72214242 -1.25927814 -0.18215284  3.13786553  2.32262015 -0.69823357] -250.91730611005403
[ 2.73412402 -1.26868121 -0.17810195  3.13739142  2.31750702 -0.6690741 ] -250.91721882067822
[ 2.72613628 -1.26241249 -0.18080255  3.13770749  2.32091577 -0.68851375] -250.91678448965453
[ 2.72214242 -1.25927814 -0.18215284  3.13786553  2.32262015 -0.69823357] -250.91730611005403
[ 2.71834496 -1.27306641 -0.1716587   3.12637713  2.30236677 -0.66855492] -250.91755062567637
[ 2.73306417 -1.2626093  -0.18214091  3.14107044  2.32479491 -0.68381608] -250.9168250359114
[ 2.72391376 -1.25289763 -0.20776508  3.13458809  2.32278697 -0.6982286 ] -250.91767322958515
[ 2.73040397 -1.26956561 -0.17020253  3.13758618  2.31701184 -0.67358923] -250.91689502588298
[ 2.72826307 -1.28574313 -0.17284485  3.14724087  2.32033613 -0.6723039 ] -250.91715033958315
[ 2.72863917 -1.25825964 -0.18346276  3.13344481  2.31813868 -0.68323066] -250.91686965594928
[ 2.72603701 -1.26472278 -0.17415113  3.13473514  2.32303508 -0.68902633] -250.9168652144339
[ 2.7292948  -1.25881102 -0.18189403  3.14147873  2.32436954 -0.67628174] -250.91685481826624
[ 2.73365078 -1.25365693 -0.17287783  3.13597657  2.32424769 -0.69350884] -250.91682315163055
[ 2.72853677 -1.25059178 -0.18824054  3.13721821  2.32815538 -0.6978699 ] -250.91721158644356
[ 2.72993717 -1.26482215 -0.17471203  3.13749419  2.31979773 -0.6796594 ] -250.9167133860233
[ 2.73073423 -1.26408525 -0.1720634   3.14270938  2.32758156 -0.68703805] -250.91679080809868
[ 2.73490213 -1.2574096  -0.18067912  3.14407713  2.32420066 -0.68057962] -250.91706044323004
[ 2.72825329 -1.26289449 -0.17578313  3.13707064  2.32332647 -0.68691465] -250.91672399641624
[ 2.73129717 -1.26468252 -0.17089925  3.13586417  2.32251851 -0.69686852] -250.91693680092303
[ 2.72979539 -1.26027889 -0.17914533  3.14007509  2.32390678 -0.68142843] -250.91684929838985
[ 2.73079658 -1.26321464 -0.17364794  3.13726781  2.32298127 -0.69172182] -250.91680425390192
[ 2.72677194 -1.26108602 -0.16782138  3.13500492  2.32148858 -0.69196942] -250.9167626850019
[ 2.72389239 -1.27251475 -0.17539898  3.1397749   2.3211161  -0.68176353] -250.91696630342724
[ 2.73121118 -1.25837139 -0.17350811  3.13692616  2.32346479 -0.69057251] -250.9167875062298
[ 2.72688478 -1.26134262 -0.17458225  3.13836978  2.3225437  -0.68316744] -250.91682710245723
[ 2.72981863 -1.26274664 -0.17388152  3.1375433   2.32287188 -0.68958323] -250.91675924834547
[ 2.72664193 -1.26002581 -0.17677284  3.13120619  2.31637351 -0.68869961] -250.91687700654236
[ 2.72971115 -1.26307039 -0.17324076  3.13983358  2.32477955 -0.68745344] -250.91691409680325
[ 2.72909523 -1.26385832 -0.17524758  3.13728241  2.3215621  -0.68328703] -250.91670696646645
[ 2.7298779  -1.2637844  -0.17429678  3.13751875  2.3213348  -0.68462131] -250.91670470834316
[ 2.72835455 -1.26295409 -0.17126671  3.13624956  2.32064315 -0.68581441] -250.91673335773885
[ 2.72803673 -1.26361732 -0.17775729  3.13760084  2.32035675 -0.68408657] -250.9168482380374
[ 2.73057417 -1.26159677 -0.17411007  3.13721017  2.32163126 -0.68511596] -250.9167422220401
[ 2.7303357  -1.2644537  -0.17338771  3.14010179  2.32368964 -0.68334872] -250.91679550535207
[ 2.73135485 -1.26353915 -0.16991634  3.13768478  2.32252948 -0.6831957 ] -250.91670521296632
[ 2.72939559 -1.26239792 -0.17312879  3.13437817  2.31880986 -0.68388255] -250.91671944826243
[ 2.72876426 -1.26552191 -0.17207933  3.13632578  2.31992778 -0.68170418] -250.91676781322326
[ 2.73012169 -1.26257805 -0.17360239  3.13698907  2.32120539 -0.68426301] -250.916733083394
[ 2.73157292 -1.26403925 -0.17570126  3.1375329   2.3211033  -0.68048859] -250.91675991654824
[ 2.72915915 -1.26322538 -0.17237534  3.13657039  2.32075819 -0.68448296] -250.91674907975306
[ 2.73061637 -1.26366177 -0.17210656  3.13760176  2.32193214 -0.68390851] -250.91674584113727
[ 2.72948656 -1.26382136 -0.17477218  3.13740058  2.32144845 -0.68395417] -250.91671223467102
[ 2.72990753 -1.26430327 -0.1745044   3.13750647  2.32056626 -0.68214036] -250.91673492281203
[ 2.72963675 -1.26309116 -0.17371278  3.13594846  2.32007233 -0.68425193] -250.91677925125092
[ 2.7299998  -1.26318122 -0.17394958  3.13725391  2.3212701  -0.68444216] -250.91674955251042
[ 2.72911623 -1.26336924 -0.17278174  3.13688415  2.32098898 -0.68521786] -250.916731658225
[ 2.73003139 -1.2642826  -0.17375763  3.13877342  2.32244124 -0.68384286] -250.91674747506167
[ 2.72967886 -1.26455965 -0.17345685  3.13797446  2.32163386 -0.68345286] -250.91670427886555
[ 2.7295184  -1.26524887 -0.17321048  3.13833474  2.32181575 -0.68295821] -250.91674023467766
[ 2.72952977 -1.26355064 -0.17354854  3.13618864  2.32019359 -0.68392216] -250.91673469197215
[ 2.72858258 -1.26413441 -0.17568027  3.13688925  2.32012317 -0.68386107] -250.91673091491708
[ 2.72884977 -1.26343663 -0.17367438  3.13677881  2.32134135 -0.68620279] -250.91672619034478
[ 2.72900086 -1.26415126 -0.17467219  3.13829336  2.32209662 -0.68518119] -250.9167321968521
[ 2.72913309 -1.2640011  -0.17439128  3.13776718  2.32162086 -0.68486643] -250.91676123112225
[ 2.72977838 -1.26417202 -0.17387681  3.13774661  2.32148433 -0.68403709] -250.91670104399614
[ 2.72958271 -1.26419051 -0.17411451  3.13768752  2.32154116 -0.68370352] -250.91675104615084
[ 2.72926432 -1.26399814 -0.17356561  3.13737664  2.32148761 -0.68482783] -250.91674598009527
[ 2.72913072 -1.26434703 -0.17456856  3.13743186  2.32087852 -0.68365696] -250.91669846329552
[ 2.72939755 -1.26396445 -0.17311929  3.13742931  2.32131142 -0.68433536] -250.91680196216595
[ 2.72960432 -1.26405515 -0.17350269  3.13708155  2.32091372 -0.68368751] -250.91667362357325
[ 2.72961556 -1.26447639 -0.17457572  3.13767024  2.32133498 -0.68345323] -250.9167734024494
[ 2.72956106 -1.2643484  -0.17421161  3.13761001  2.32132909 -0.68367376] -250.91670485103907
[ 2.72942317 -1.26430296 -0.17361287  3.13738619  2.32103456 -0.68407516] -250.91670322806812
[ 2.72979452 -1.26459693 -0.17417752  3.13770025  2.32093709 -0.68269996] -250.91674784472514
[ 2.72939687 -1.26414784 -0.17371859  3.13745754  2.32134998 -0.68429586] -250.91666997361392
[ 2.72944305 -1.26417982 -0.17336718  3.13741606  2.32110257 -0.68406139] -250.91677260714556
[ 2.72953155 -1.26430626 -0.1740005   3.13756152  2.32127246 -0.68377067] -250.91672171561444
[ 2.72950059 -1.26410149 -0.17361064  3.13726955  2.32113185 -0.68399169] -250.91671506159872
[ 2.72926379 -1.26424744 -0.17414357  3.1374447   2.32111425 -0.68397641] -250.91673675956886
[ 2.72958762 -1.26415993 -0.1737977   3.13760207  2.32141715 -0.68416647] -250.91678003513152
[ 2.72941002 -1.2642254  -0.17366573  3.13742186  2.32119227 -0.68418551] -250.91673243406137
[ 2.72953787 -1.26435375 -0.17358772  3.137716    2.32149192 -0.68387436] -250.91675577646117
[ 2.72947896 -1.26424812 -0.1739651   3.13753377  2.32133953 -0.68398481] -250.91667809694297
[ 2.72927508 -1.26428141 -0.17376608  3.13734574  2.32112278 -0.6839364 ] -250.9166685112955
[ 2.7291188  -1.26434215 -0.17375027  3.13721757  2.32097559 -0.68382137] -250.91671162496795
[ 2.72923724 -1.26406349 -0.17403552  3.13710839  2.32092497 -0.6842492 ] -250.9167160573338
[ 2.72950246 -1.26410848 -0.17344365  3.13726758  2.32123954 -0.68423808] -250.9166976605935
[ 2.72938704 -1.26409154 -0.17384746  3.13723899  2.32117728 -0.6840465 ] -250.91668243085616
[ 2.72960976 -1.26426281 -0.17341499  3.13759601  2.32152869 -0.68391525] -250.91674630145408
[ 2.72933037 -1.26411332 -0.17388039  3.13723029  2.3210759  -0.68416571] -250.91673205124573
[ 2.72933597 -1.26421463 -0.17374234  3.13740164  2.32123638 -0.68411613] -250.91677791619247
[ 2.72937702 -1.26426477 -0.17386559  3.13743976  2.32123116 -0.68396061] -250.9166729431857
[ 2.72933106 -1.26418648 -0.17380677  3.13729236  2.32115003 -0.68399145] -250.91669227890208
[ 2.72938877 -1.26419495 -0.17360486  3.13730666  2.32118116 -0.68408724] -250.9167847758689
[ 2.72938783 -1.26419145 -0.17368836  3.13730764  2.32112731 -0.68396404] -250.91677599480144
[ 2.72925616 -1.26417245 -0.1739008   3.13722706  2.32102387 -0.6840928 ] -250.91675775427592
[ 2.72926561 -1.26424212 -0.17398512  3.13736474  2.32111602 -0.68393324] -250.91674942645326
[ 2.72929494 -1.2642316  -0.17392857  3.13725746  2.32102068 -0.68384339] -250.91669221636573
[ 2.72921212 -1.26426815 -0.17406262  3.13733473  2.3210942  -0.68395525] -250.91676942995505
[ 2.72925605 -1.26424898 -0.17396905  3.13732796  2.32110247 -0.68395745] -250.91678551762107
[ 2.72932605 -1.26427309 -0.17381584  3.13739275  2.32117697 -0.68394851] -250.9167809201021
[ 2.72928501 -1.26425651 -0.17384733  3.1373016   2.32107173 -0.6838899 ] -250.9167618978527
[ 2.72930307 -1.26423395 -0.17378643  3.13731905  2.3211364  -0.68396393] -250.91675488685982
[ 2.72927034 -1.26426176 -0.1738756   3.13735524  2.3211194  -0.68393482] -250.9167663216453
[ 2.72926562 -1.26422693 -0.17383344  3.1372864   2.32107332 -0.6840146 ] -250.91678048385447
[ 2.72933145 -1.26423643 -0.17372722  3.13732669  2.32112505 -0.68395022] -250.91671755479229
[ 2.72925081 -1.26422591 -0.1737962   3.13725216  2.32103926 -0.68394812] -250.91670903566614
[ 2.7293063  -1.26427172 -0.17376618  3.13734709  2.32113155 -0.68385986] -250.9167711100229
[ 2.72929613 -1.26426053 -0.17378299  3.13733192  2.32111699 -0.68389855] -250.91678816998058
[ 2.72926294 -1.26425366 -0.17378114  3.13729895  2.32108102 -0.68394226] -250.91673542849597
[ 2.72930326 -1.26425892 -0.17374665  3.13733621  2.32112391 -0.68394331] -250.91670890277535
[ 2.72928907 -1.26425768 -0.17377625  3.13733239  2.32112959 -0.68395017] -250.9167843631426
[ 2.72928004 -1.26426896 -0.1738067   3.13732367  2.32109725 -0.68391315] -250.91673618759793
[ 2.72927271 -1.26427159 -0.17382084  3.13735049  2.32112109 -0.68393561] -250.9167211754655
[ 2.72927035 -1.26425417 -0.17379976  3.13731607  2.32109805 -0.6839755 ] -250.91674588635382
[ 2.72926572 -1.26427189 -0.17379747  3.13732465  2.32108511 -0.68393192] -250.91678953097647
[ 2.72928323 -1.26426123 -0.17378156  3.13733046  2.32111847 -0.6839456 ] -250.91673831516218
--------------------------------------------
[ 0.9219359  -1.25788276 -0.13284532 -0.17551025 -1.77787573  0.19257979] -34.249779324580516
[ 0.53461891  0.08188621 -1.72006249 -0.80694477 -1.85207666 -0.18071961] -37.9474677424556
[ 0.4283766   0.16765943 -0.17311739 -1.08102147  0.83078963 -0.33398821] -5.261076704898096
[ 0.3924808  -0.38534384 -0.29381814 -0.4677843   0.94818188 -0.21950369] -4.24927857444985
[ 0.47144508  0.88957304 -0.35447493  0.21140468 -0.28591845  0.78616457] -10.41729700127608
[-0.50885389  1.00416644 -0.65510065  1.23039671 -0.89683002  0.16833234] -18.658379450588892
[-1.62535951  2.24480108 -0.65807591  0.37992659 -0.73065711  0.11187156] -17.267584221964757
[-0.50794391  0.80577158  0.96425171  0.83941542  1.21464006  0.41587173] -6.462579371435071
[-1.37188751  2.83342534 -0.25726645  0.54628946  2.13794439  0.11700298] -19.01143975342947
[-0.79843166  1.81059831 -0.22616117  0.36583953  1.15898936  0.13589718] -7.209086943160721
[-0.03762364  0.84018676  0.40796871 -1.14780322  1.94217181  0.1304387 ] -14.662359830775584
[ 1.60812726 -0.86865265  0.76629218 -0.80657638  2.66694187  0.19308854] -31.26258180687568
[-0.81698781  1.46643764 -0.30198389  0.08330085  0.11874263  0.1321758 ] -6.827958627060406
[-0.23939666  0.74471196 -0.53640331  1.13152146 -0.61369677  0.17510043] -13.859676105983617
[-0.18895341  0.76858066 -0.30031031  0.56169029  0.02527037  0.163935  ] -6.559720454112783
[-0.96859821  0.65499489  0.2440952  -0.11092457  1.71812309 -0.6880353 ] -7.225413117130723
[-0.60858739  0.71363943  0.09445267 -0.03034226  1.21711271 -0.31948533] -4.71154686730172
[ 0.36455995 -0.63168334  0.22265272 -0.39742002  0.29258973 -0.18956208] -4.81231213053807
[ 0.77696536 -0.98689634  0.47335431 -0.27512163  1.39078549 -0.29308666] -7.2748553535685385
[-0.41849952  0.85310415 -0.10814934 -0.00630477  0.43675335  0.02586019] -4.5778233000574
[ 0.07241558 -0.26086486  0.53573438 -0.94284276  1.62141874 -0.37087079] -8.050412617739703
[-0.12361116  0.51121928 -0.09129913  0.18555703  0.42430747  0.03023355] -4.304072794414365
[ 0.51951701 -0.39623988 -1.08067791 -1.43852069  0.16860486 -0.75135359] -7.399448273483085
[-0.25107868  0.50526872  0.4530193   0.26993139  0.95313126  0.1240654 ] -4.625028947735272
[-0.6432886   0.3544087   0.26540341  0.93223383  0.59323584  0.15119089] -3.4038588831430463
[-1.17912121  0.44778333  0.48466381  1.93886148  0.47445894  0.39378044] -5.114385583963738
[-0.91542147  1.48244882 -0.11611646  0.69185033  1.2316511   0.12034908] -6.183135544493655
[ 0.0445646  -0.1031503   0.13796042 -0.12510243  0.52735507 -0.11208429] -3.713824155741721
[ 0.2754432  -0.1351372   0.02658617  0.29318584  0.07720891  0.31940601] -5.787312946965695
[-0.38757974  0.50144527  0.07748605  0.05053977  0.93213676 -0.15976249] -3.7654162843652825
[-0.12756586  0.07195903 -0.45715821 -0.08021836  0.3341922  -0.21875402] -3.710187441520907
[ 0.13683286 -0.5362581  -0.01232586  0.17137995  0.81638306 -0.20208687] -2.9937461812929556
[ 0.41449905 -1.23093923  0.03558588  0.26022231  1.00619791 -0.3160604 ] -3.5208233923592314
[-0.07124083 -0.54353236 -0.00285164 -0.02520754  0.9595208  -0.28390037] -2.8914288105855546
